mol,Core,atag,R1,btag,R2,pic50,clearance_mouse,clearance_human,logd,pampa
OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3ccccc3,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B01,c1ccc([*:2])cc1,6.5,medium (5.6-30.5),low (< 12),0.3,low
OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3ccc(Br)cc3,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B02,Brc1ccc([*:2])cc1,6.8,medium (5.6-30.5),low (< 12),1.03,low
OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3cccc(c3)N(=O)=O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B03,O=[N+]([O-])c1cccc([*:2])c1,Assay Failed,good,poor,best,poor
Cc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B04,Cc1ccc([*:2])cc1,7.1,medium (5.6-30.5),low (< 12),0.6,low
OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3cccc4c5ccccc5oc34,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B05,c1ccc2c(c1)oc1c([*:2])cccc12,5.1,medium (5.6-30.5),low (< 12),1.56,low
OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3cccc4Sc5ccccc5Sc34,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B06,c1ccc2c(c1)Sc1cccc([*:2])c1S2,5.4,medium (5.6-30.5),low (< 12),2.22,low
CSc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B07,CSc1ccc([*:2])cc1,7.6,medium (5.6-30.5),low (< 12),0.78,low
OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3cccc(c3)C(F)(F)F,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B08,FC(F)(F)c1cccc([*:2])c1,5,medium (5.6-30.5),low (< 12),1.24,med2high
OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3ccccc3N(=O)=O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B09,O=[N+]([O-])c1ccccc1[*:2],4.1,good,poor,best,poor
Cc1ccc(cc1N(=O)=O)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B10,Cc1ccc([*:2])cc1[N+](=O)[O-],5.6,good,poor,best,poor
